EID	CID	Language	Form
30536	291-d30b34a3f8daa30636313514f57676f7-1-2	Kapampangan	liyas
30536	542-996035d2f609446281794493c47776fd-1-1	Bisaya_(Limbang)	lios
30536	438-72d3516992d1146a9d9896336d9633ef-1-1	Kayan_(Uma_Juman)	liah
30536	18577-72d3516992d1146a9d9896336d9633ef-1-1	Ngaju_Dayak	lias
30536	19280-916e2e1eb19b39b28a13416974202bbc-1-1	Mori_Atas	liʔoho
30536	840-72d3516992d1146a9d9896336d9633ef-1-1	Mendak	sila
30472	18964-510785f3377e0ba2410bec392b502555-1-1	Puyuma_(Tamalakaw)	uReH
30472	573-1b6659658933a0dd6a97eae8b04f5802-1-1	Chamorro	lagoʔ
30472	19031-510785f3377e0ba2410bec392b502555-1-1	Lamaholot	loũ
30567	409-6c8db029e17a66df74d0f9e60d514820-1-1	Selaru	fturi
28359	244-d79433bb8038a309b4deaa916f6421ce-1-1	Bikol	tukád
30377	19319-eb88d7636980738cd0522ea69e212905-1-1	Galoli	amdauk
32175	1103-a2eb137a49908ae562be7cbd3ba1e3df-1-1	Vitu	taðile
32175	19063-640e1e54789b038a45c48c551467e21e-1-1	Wogeo	selite
32175	328-640e1e54789b038a45c48c551467e21e-1-1	Manam	taile
25879	246-8dbd51f376c511946bca1d394af123ed-1-1	Bontok	tapá
25879	252-ba7af84a47c404a966decabd634bda80-1-1	Cebuano	taph-an-an
25879	282-32b4cf131b784c050f3d080333c5a07e-1-1	Itbayaten	tahp-i
30586	299-68d03fef8ae3d2ae5f2927b2b3d27284-1-1	Kelabit	taeʔ
30586	18958-27a8abbcc5918ec5c14cdb3677a1f1b3-1-1	Kiput	taaiʔ
30586	261-68d03fef8ae3d2ae5f2927b2b3d27284-1-1	Eddystone/Mandegusu	tea
30547	19418-03724badcdcfeff39f2eef6b93a63a87-1-1	Lun_Dayeh	t&lt;in&gt;uəh
30547	19410-e69d0fdbb9b24128373b9a88ceb72516-1-1	Cape_Cumberland	tu-tua
30547	19287-03724badcdcfeff39f2eef6b93a63a87-1-1	Lungga	matua
30547	344-7644b46abdd7490fdfce38a49539e1ef-1-1	Mota	matua
30547	19343-e69d0fdbb9b24128373b9a88ceb72516-1-1	Mosina	moto
30547	843-e69d0fdbb9b24128373b9a88ceb72516-1-1	Merlav	mato
30547	19414-e69d0fdbb9b24128373b9a88ceb72516-1-1	Central_Santo	matua
30547	1043-e69d0fdbb9b24128373b9a88ceb72516-1-1	Tambotalo	natua
30547	897-e69d0fdbb9b24128373b9a88ceb72516-1-1	Ngwatua	ŋʷatua-
30547	19409-e69d0fdbb9b24128373b9a88ceb72516-1-1	Northeast_Ambae	matue
30547	943-e69d0fdbb9b24128373b9a88ceb72516-1-1	Raga	mwatua
30547	19220-e69d0fdbb9b24128373b9a88ceb72516-1-1	Vovo	na-matu
30547	498-03724badcdcfeff39f2eef6b93a63a87-1-1	Atchin	mwatu
30547	19365-e69d0fdbb9b24128373b9a88ceb72516-1-1	Mapremo	marua
30547	19366-e69d0fdbb9b24128373b9a88ceb72516-1-1	Lelepa	matua
30547	1030-e69d0fdbb9b24128373b9a88ceb72516-1-1	Southwest_Tanna	mʷatu-
30922	322-3a291c7f833caa8d97121791e094c8f3-1-1	Lou	set
30922	19656-804f743824c0451b2f60d81b63b6a900-1-1	Piva	tagisi
30922	519-0184ec44c82ea2c9204d3be3fe9e67f9-1-1	Banoni	taghisi
28459	404-4a258d930b7d3409982d727ddbb4ba88-1-1	Sasak	tipah, tiper
28459	404-4a258d930b7d3409982d727ddbb4ba88-2-1	Sasak	tipah, tiper
30732	981-6e909e412ef637213a4a85f4ae4d2cf8-1-1	Samal	tuli
30732	918-6e909e412ef637213a4a85f4ae4d2cf8-1-1	Palu'e	tuli
30732	322-6e909e412ef637213a4a85f4ae4d2cf8-1-1	Lou	merit
30732	598-6e909e412ef637213a4a85f4ae4d2cf8-1-1	Ere	amtir
32471	330-29d063bdaf5b0f104050e61182c60450-1-1	Maori	hī-teki
32471	19258-2824cf2a9873b35a39437147f69ab9af-1-1	Marquesan	teki
28490	18976-c1e02089b0c00af93f203f1dcbac003e-1-1	Sambal_(Botolan)	itlɨn
32217	299-b5f36fb4d27eb766139ce5579c47a653-1-1	Kelabit	sirut
32362	254-c1e02089b0c00af93f203f1dcbac003e-1-1	Cheke_Holo	tomno
30733	249-6e909e412ef637213a4a85f4ae4d2cf8-1-1	Buli	am-tuli
30356	293-22b84b6e35ace0cd87f805ecf020ff36-1-1	Kavalan	tusuz
30742	238-a922e83def6463a55c60c50e64551b28-1-1	Banggai	tilalu
32766	252-8485fd346d06a2b8f286305473e083e0-1-1	Cebuano	túsluk
28551	433-13474487429244ba077af1c5bd813215-1-1	Tiruray	temful
30783	18953-3a4a86e73ec6439b2e10dbeb22189e95-1-1	Melanau_Dalat	tuʔa
30783	18953-5ba82ab1db7bbec98956be8c278c6b50-1-1	Melanau_Dalat	tuaʔ
30783	19279-149603e6c03516362a8da23f624db945-1-1	Mori_Bawah	mo-taʔu
30545	246-a57fc812a9521b8c0ede9a2724351a55-1-1	Bontok	tuŋʔal
30545	289-a57fc812a9521b8c0ede9a2724351a55-1-1	Kankanaey	tuŋʔa
30545	18225-a733cf3c5a0ecb8ee875333f7b8ddb94-1-1	Ifugaw_(Batad)	tuŋal
30545	770-a57fc812a9521b8c0ede9a2724351a55-1-1	Ma'anyan	taʔulaŋ
30696	573-10b2e8f53cb88826aa9563334ffa5e65-2-1	Chamorro	tunok
30696	573-10b2e8f53cb88826aa9563334ffa5e65-1-1	Chamorro	t&lt;um&gt;unok
25912	816-1443eb204cce71427449aa7532481d9c-1-1	Manggarai	ceŋap
33348	815-c9ad31e5740747285dae5c168715d2de-1-1	Mbula	nora
30394	291-02cf1601f5a5a886bda51ea62216baf1-1-1	Kapampangan	liño
31629	331-ac5f60a24dc9f7a22f880c39e8f9706d-1-1	Maranao	baŋkat
26609	238-2541d938b0a58946090d7abdde0d3890-1-1	Banggai	ka-patu
30603	19580-41b400e8245cdc3ac003487b7780f5af-1-1	Sakizaya	mu-kan
30603	226-ce41b7c709a257a74014ee99b837bc65-1-1	Aklanon	kanʔ-a
30603	252-c99d75f90f76bd2dc57402678264a393-1-1	Cebuano	kanʔ-an-an
30603	273-8063bd3bb7fcc351ca44fbca58ebd8d3-1-1	Hanunóo	kánʔ-un
30603	19354-dc140d5e7ea8d3632755be2bbae671fc-1-1	Romblomanon	kanʔ-un
30603	252-55aefd83e53d7e26a88bd688f74f4d40-1-1	Cebuano	kanʔ-un
30492	490-470c5bded66fa94d4fd740fb3427d797-1-1	As	kail
26624	19698-53f018f2ee1fc4fb7ad2be1cc7b9ed43-1-1	Ayta_Abellan	kaliteptep
30191	1112-1e893922a5ddc59deda87b8f38f360cb-1-2	Wandamen	kanisu
26643	1131-78789a3b41de518efc21e858acc01a21-1-1	Yami	aknasay
31616	434-11e64df28ee778588df9878a9ba9abab-1-1	Tongan	fekika
30494	19580-7659182992ed205987aad96e00094e92-1-1	Sakizaya	mu-kalat
34043	372-a34a11019e43b2781772d7f833bf725e-1-1	Palauan	ketát
31849	614-05fe3f2a5578b356b6878cd1cd27a50a-1-1	Gilbertese	katea
31849	434-03d0c155301d631abf2610a190575f8d-1-1	Tongan	katea
30087	359-d04b66a227f52f1073feb8cf8b366269-1-1	Nggela	hege
32626	1025-6f7f9432d35dea629c8384dab312259a-1-1	Subanun_(Sindangan)	ma-sɨkɨg
31797	412-25bb99cda262e0c56d209a55f8d06035-1-1	Singhi_Land_Dayak	kujet
32743	291-08238953fe0f6dd13f10714ebfbcb9f9-1-1	Kapampangan	kíldap
29907	1087-e6f6362248805a36c61d205dbc6f4076-1-1	Tsou	riʔm-a
26779	19052-6ad876c595cd460a19b886cf747d190f-1-1	Tontemboan	kuris
30459	236-0f3e030df47b709f4bd2ef62f37b7f57-1-1	Bare'e	tuku
30461	1060-615fc9216a9389ce03f24bedf6a829d6-1-1	Tetun	kunir
25871	375-ce182918eca4bc9398a91f48305f226d-1-1	Pazeh	saik
25874	645-d8ff99616fc9df8a54a32eec86ba8109-1-1	Irarutu	təŋgəra
25874	19491-d8ff99616fc9df8a54a32eec86ba8109-1-1	Arop	taŋla
30378	302-6bdf790e1ea6bd7acd4b85938152b18a-1-1	Kisar	kaman
30161	282-3c1a921ca68fb8c88481367c976594a4-1-1	Itbayaten	tilo
30161	19549-368a3f662e1a8549c1adb77b10c365d6-1-1	Ivatan_(Isamorong)	tido
25940	660-dc441a9ea9d69b76121845f89d6ee076-1-1	Old_Javanese	tahulan
30739	706-24cb9ef496c704f67e3646836cfd4494-1-1	Kodi	ŋani
30739	706-24cb9ef496c704f67e3646836cfd4494-1-1	Kodi	ŋani
30739	19483-24cb9ef496c704f67e3646836cfd4494-1-1	Anakalangu	ŋani
30739	678-24cb9ef496c704f67e3646836cfd4494-1-1	Kambera	ŋeni
30248	386-630b35d29b22accf9a41ec2ebc26ec9b-1-1	Puyuma	ilib
27196	241-32b2483f535a572aa3f6439b0f4f6a7e-1-1	Bimanese	lino
30190	246-4068f9bcbdb0a6df2cfa9c6b5ae1b105-1-1	Bontok	ʔinyug
30190	19368-763b8741d9f1a6fb4e0b72865d993f33-1-1	Sula	nui
30190	19333-763b8741d9f1a6fb4e0b72865d993f33-1-1	Takuu	nui
30737	433-c5bdee4f32e7027b6187aa7940d2ace5-1-1	Tiruray	regamey
30391	19186-6dca155234fe72d4bc836f16e26257f6-1-1	Masbatenyo	ugám
30391	226-9473ca9dbed71854175860eb94edf372-1-1	Aklanon	ugám
30391	252-af4f71302c9c67cc621b0f3842de79b6-1-1	Cebuano	ugám
28595	423-d17259b48801d20338ce36bc051f02a1-1-1	Tagalog	hulí
28595	244-2dc65a1fae73477551ce8ef7b286e60a-1-1	Bikol	hurí
28595	18831-96643ef7e2f092f303dc1cfe702c6104-1-1	Tausug	huli
28595	18831-f28fb9f73ad04081b5ff24562da23fbb-1-1	Tausug	ka-hulih-an
28619	243-6d3f321e4e2b98afdd8cde1c2ee4ecac-1-1	Banjarese	luai
28714	294-14418df71120be5ce1bc9caf81913a3f-1-1	Kayan	usuŋ
28714	294-0750b11b392a41df9c1b35a680df07e3-1-1	Kayan	usuŋ
28714	438-0750b11b392a41df9c1b35a680df07e3-1-1	Kayan_(Uma_Juman)	usuŋ
28663	19034-6349ac43f298198d976ef735b58c66f6-1-1	Mono-Alu	ihu
28663	832-6349ac43f298198d976ef735b58c66f6-1-1	Marovo	ivu-a
28713	1025-cd6c416546d256996e4941fe1170458e-1-1	Subanun_(Sindangan)	gusa
28713	276-fb2a6e20b8d9bbaa5cae8873aca3c240-1-1	Iban	rusaʔ
28713	326-55c8162b66cae548a26d99d0cb2ef81d-1-1	Malay	rusa
29971	19018-5328355b4eac3ab27eefed0d5abe0b70-1-1	Favorlang/Babuza	mosa
28681	405-ae13abb61bae03b70391a8aa8d6cb08e-1-1	Hawu	madu
29997	1062-036b3d438e84ee3bf1cfa92477b23a98-1-1	Thao	lhimza
30002	1062-4c17856f84fa4246445fcc7f8a5aabe0-1-1	Thao	shupilh
29971	19018-5328355b4eac3ab27eefed0d5abe0b70-1-1	Favorlang/Babuza	mosa
29907	1087-e6f6362248805a36c61d205dbc6f4076-1-1	Tsou	riʔm-a
29916	1062-45d9391c8c7695a8459e0b9206941c29-1-1	Thao	nuzush
30248	386-630b35d29b22accf9a41ec2ebc26ec9b-1-1	Puyuma	ilib
29964	375-e2bbb098e9f3c4367dd6121e90df7ab9-1-1	Pazeh	xaidaŋ
29943	19086-1ffd9e753c8054cc61456ac7fac1ac89-1-1	Proto-Rukai	*mai-ceɭeŋe
