Language,Form,Gloss,Gloss_Fixed,Source,Form_ID_v1.2
Kelabit,kulit,"skin (of people, animals, fruit, trees, bamboo); rice husk (singular; <span class=""wd"">padek</span> = plural)","skin (of people, animals, fruit, trees, bamboo); rice husk (singular; _padek_ = plural)",,299-9128ff4c9bd26cd1d4da474f92187514-1
Rennellese,tuk-i,"to beat, strike, pound, smash, destroy, blow down; to knock, as on 	a door; beater, pounder, as for <span class=""wd"">sogo</span>  (grated taro and coconut) pudding or for putting out a fire","to beat, strike, pound, smash, destroy, blow down; to knock, as on a door; beater, pounder, as for _sogo_ (grated taro and coconut) pudding or for putting out a fire",,390-8d1ed33a2b75fac4dba5c7a5ab138315-1
Iban,titi,"low bridge, timber causeway, board walk; usually distinct from <span class=""wd"">batang</span> (felled tree or logs laid end to end), and <span class=""wd"">andau</span> (bridge); walk along narrow way or in single file","low bridge, timber causeway, board walk; usually distinct from _batang_ (felled tree or logs laid end to end), and _andau_ (bridge); walk along narrow way or in single file",,276-95bd41214b99415ad0c669158553d77b-1
Ilokano,bették,"band, string, strip used to bind; bundle of <span class=""wd"">palay</span> (rice)","band, string, strip used to bind; bundle of _palay_ (rice)",,279-882b61929f84f93244fe0f30a04a1687-1
Mansaka,atup,"roof.  A compact roof is made with the laves of the <span class=""wd"">lombiya</span> (sago) palm",roof. A compact roof is made with the laves of the _lombiya_ (sago) palm,,825-1feb044a329b42748aabc7da73747d2b-1
Buginese,winaŋa,"(= <span class=""wd"">minaŋa</span>)  estuary, mouth of river","(= _minaŋa_) estuary, mouth of river",,239-9a29d3090e8adf9890d237012a0b7c44-1
Gilbertese,oka,"joint, beam, rafter of house going from <span class=""wd"">tataŋa</span> (large horizontal beam on which rafters are placed) to <span class=""wd"">taubuki</span> (ridge of house roof)","joint, beam, rafter of house going from _tataŋa_ (large horizontal beam on which rafters are placed) to _taubuki_ (ridge of house roof)",,614-6d6f0b41663a4254eaa049143ab45e9b-1
Kelabit,-an,"marker of nouns of location (e.g. <span class=""wd"">irup</span> 'what is drunk; way or manner of drinking' : <span class=""wd"">m-irup</span> 'to drink' : <span class=""wd"">rup-an</span> 'watering hole for animals in the jungle', <span class=""wd"">dalan</span> 'path, road' : <span class=""wd"">nalan</span> 'to walk' : <span class=""wd"">delan-an</span> 'path made by repeated walking over the same course","marker of nouns of location (e.g. _irup_ 'what is drunk; way or manner of drinking' : _m-irup_ 'to drink' : _rup-an_ 'watering hole for animals in the jungle', _dalan_ 'path, road' : _nalan_ 'to walk' : _delan-an_ 'path made by repeated walking over the same course",,299-91c1ec4387abd733e0868c53d1926d80-1
Mapun,ka- -an,"marker of the adversative passive; <span class=""wd"">ka-lasuh-an</span> ‘to be angry (at s.o. or about s.t.); (cf. <span class=""wd"">lasu</span> ‘anger’); <span class=""wd"">ka-saŋom-am</span> ‘be overtaken by the night  (i.e. for night to come while one is doing something) (cf. <span class=""wd"">saŋom</span> ‘night, the period from about 6:00 p.m. to 6:00 a.m.); <span class=""wd"">ka-uwan-an</span> ‘to be rained on’ (cf. <span class=""wd"">uwan</span> ‘rain’)","marker of the adversative passive; _ka-lasuh-an_ ‘to be angry (at s.o. or about s.t.); (cf. _lasu_ ‘anger’); _ka-saŋom-am_ ‘be overtaken by the night (i.e. for night to come while one is doing something) (cf. _saŋom_ ‘night, the period from about 6:00 p.m. to 6:00 a.m.); _ka-uwan-an_ ‘to be rained on’ (cf. _uwan_ ‘rain’)",,19176-ba52045820f87f5ebeba8a740f1d4924-1
Puyuma_(Tamalakaw),h-əm-aruŋ,"snore (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ting"">Ting 1978</a></span>)",snore ([Ting 1978](Source#cldf:ting1978)),ting1978,18964-6e9f9c65f0110e4e02d9456f7b9aee6d-1
Bikol,siʔíd,"trap (small, heart-shaped, made of matted bamboo and used to catch the freshwater catfish called <span class=""wd"">híto</span>)","trap (small, heart-shaped, made of matted bamboo and used to catch the freshwater catfish called _híto_)",,244-7a96037734c6ef459446f5c1b2ce2c10-1
Dobel,ϕ-ϕakʷur,"springy stick which is the engine in a snare trap; springy stick which holds the sieve taut in the sago-processing apparatus (reduplication of <span class=""wd"">ϕak ʷur</span>)",springy stick which is the engine in a snare trap; springy stick which holds the sieve taut in the sago-processing apparatus (reduplication of _ϕak ʷur_),,581-bc543d2031d742aefd68e07c6f8b8ff9-1
Wahai,tarutum,"fish with spiny skin (called <span class=""wd"">durian</span> in Ambon) (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ludeking"">Ludeking 1868</a></span>)",fish with spiny skin (called _durian_ in Ambon) ([Ludeking 1868](Source#cldf:ludeking1868)),ludeking1868,1107-18218e808788cbda7fd3765cb355f7d2-1
Manusela,malua,"soft (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Stresemann"">Stresemann 1927:164</a></span>)",soft ([Stresemann 1927:164](Source#cldf:stresemann1927)),stresemann1927[164],826-dc58a7971816b41f3cc2b8c0f5f1bf0c-1
Malay,pukas,"nudity; improper or indecent exposure (used esp. of <span class=""wd"">latah</span> subjects who strip themselves when under the influence of the disease)",nudity; improper or indecent exposure (used esp. of _latah_ subjects who strip themselves when under the influence of the disease),,326-e9f0836a99c1e439c6650759e7083414-1
Palauan,ŋídəʔ,"climbing fern: <i>Lygodium circinatum (Burm.f.)</i>; large food basket made from <span class=""wd"">ŋídech</span> plant",climbing fern: _Lygodium circinatum (Burm.f.)_; large food basket made from _ŋídech_ plant,,372-bd2830e16e8df5815cef4ac0bf29eaa8-1
Cebuano,ulayan,"a tree: <i>Bischofia javanica</i> Bl. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Bischofia javanica_ Bl. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,252-7247fb031c69dd38d81ac863b42a7629-1
Cebuano,ligwán,"small wild honeybee, having black and light orange stripes, nesting inside trees or walls (&lt; *<span class=""pwd"">qali-Ruan</span>)<span class=""brax"">]</span>","small wild honeybee, having black and light orange stripes, nesting inside trees or walls (&lt; *_qali-Ruan_)<span class=""brax"">]</span>",,252-469c77bd7ab3cdc65e42a9c96e87cf62-1
Yotefa,"we, wei","mango (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Galis"">Galis 1955:275</a></span>, sub <span class=""wd"">buyai</span>)","mango ([Galis 1955:275](Source#cldf:galis1955), sub _buyai_)",galis1955[275],1135-102bead02fa4cd483bcf10e232c48a51-2
Tuvaluan,pulu,"gum or resin (from breadfruit, mango or <span class=""wd"">fetau</span> [</i>Calophyllum inophyllum</i>] tree; whatever is used to caulk a canoe, including chewing gum","gum or resin (from breadfruit, mango or _fetau_ [_Calophyllum inophyllum_] tree; whatever is used to caulk a canoe, including chewing gum",,19417-6527a0a85f357c537adc3d772ffd1176-1
Ilokano,pespés,"juice extracted from the stomach of ruminants, used as sour seasoning to make <span class=""wd"">pinespesan</span>, also called <span class=""wd"">pinespes</span>","juice extracted from the stomach of ruminants, used as sour seasoning to make _pinespesan_, also called _pinespes_",,279-df5412b4ac07a111d514383c3c6341e5-1
Bunun,-a,"imperative suffix (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Nihira"">Nihira 1983</a></span>)",imperative suffix ([Nihira 1983](Source#cldf:nihira1983)),nihira1983,250-2da2462923ce96dfad19c7f5742f7d62-1
Malagasy,tona,"a species of very large serpent; fig., an eel too large to be used as food because of its resemblance to a <span class=""wd"">tona</span>","a species of very large serpent; fig., an eel too large to be used as food because of its resemblance to a _tona_",,18432-4de43b0015e9f82e239776e9c4b23266-1
Malay,təbus,"to redeem or ransom, esp. of getting things out of pawn and acquiring debt-slaves; to <span class=""wd"">tĕbus</span> a debt-slave meant to buy out his indebtedness to his former master; this did not extinguish the debt, but transferred it to a new owner","to redeem or ransom, esp. of getting things out of pawn and acquiring debt-slaves; to _tĕbus_ a debt-slave meant to buy out his indebtedness to his former master; this did not extinguish the debt, but transferred it to a new owner",,326-e11a02e7e62dd6f7da4b76ae8aae2a0e-1
Fijian,vucu,"hit with a missile, as in <span class=""wd"">veilavo</span> game","hit with a missile, as in _veilavo_ game",,266-4f4ebdae346d5223e2f2bc2b26dcf10a-1
Javanese,pusuh,"lung (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Pigeaud"">Pigeaud 1938</a></span>)",lung ([Pigeaud 1938](Source#cldf:pigeaud1938)),pigeaud1938,285-2cf182cef6230c07c5206f027db2af4e-1
Wolio,pat-a,"four (junction form of <span class=""wd"">apa</span> in 40, etc.)","four (junction form of _apa_ in 40, etc.)",,1124-8338b9554588d399140dd0953ffc435a-1
Lun_Dayeh,bawaŋ,"locality, village, state, place, city or country (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Ganang"">Ganang, Crain and Pearson-Rounds 2006</a></span>)","locality, village, state, place, city or country ([Ganang, Crain and Pearson-Rounds 2006](Source#cldf:ganangcrainandpearsonrounds2006))",ganangcrainandpearsonrounds2006,19418-7018d7bc32b36e98cba41441b94e579e-1
Hawaiian,piko,"navel, navel string, umbilical cord; fig. blood relative, genitals; design in plaiting the hat called <span class=""wd"">pāpale ‘ie</span>; bottom round of a carrying net","navel, navel string, umbilical cord; fig. blood relative, genitals; design in plaiting the hat called _pāpale ‘ie_; bottom round of a carrying net",,620-5b5d31222500957f234e8e7e421488fc-1
Tongan,uʔa,"honorific or regal for <span class=""wd"">kia</span>, neck, or <span class=""wd"">monga</span>, throat","honorific or regal for _kia_, neck, or _monga_, throat",,434-b8e1d89275d17c02d53c02bf83901b67-1
Tagalog,lukás,"uncovered, without roofing (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Panganiban"">Panganiban 1966</a></span>)","uncovered, without roofing ([Panganiban 1966](Source#cldf:panganiban1966))",panganiban1966,423-09133dca000e0a58ccd3704a4e6418aa-1
Misima,tuna(hot),"that’s true, yes (<span class=""wd"">hot</span> = emphatic)","that’s true, yes (_hot_ = emphatic)",,848-fb81cc84dac9cb485987fa72042e4dfe-1
Balinese,unjan,"increase, add to; rise, as a price (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Panitia"">Panitia 1978</a></span>)","increase, add to; rise, as a price (Panitia 1978)",,235-c5c8101c34801256a2e269c5101fc7f9-1
Malay,sumpah,"oath; ordeal; imprecation; <span class=""wd"">sumpah</span> also means ‘curse’ both (i) in the modern sense of mere bad language, and (ii) in the old sense of spell-change by a curse","oath; ordeal; imprecation; _sumpah_ also means ‘curse’ both (i) in the modern sense of mere bad language, and (ii) in the old sense of spell-change by a curse",,326-6240558d28c479846b389150bb80f6f3-1
Ibaloy,kati,"rooster that is trained to lure <span class=""wd"">sabag</span> wild roosters (usually small size since the <span class=""wd"">sabag</span> might not fight a big rooster); the <span class=""wd"">kati</span> is tied so that when the <span class=""wd"">sabag</span> approaches to fight it is snared (done at dawn)",rooster that is trained to lure _sabag_ wild roosters (usually small size since the _sabag_ might not fight a big rooster); the _kati_ is tied so that when the _sabag_ approaches to fight it is snared (done at dawn),,19182-bf45fedd6f237b240f3787c669d60aa6-1
Kadazan_Dusun,po-nuba-an,"(place where to) poison fish with <span class=""wd"">tubo</span>",(place where to) poison fish with _tubo_,,287-e50d0a55984dc11216ee5bfe0ea30fcc-1
Cebuano,mu-grahi,"go to/toward the garage (<span class=""wd"">grahi</span> = garage)",go to/toward the garage (_grahi_ = garage),,252-e0ad21434eac05a13c21b8d8e82fdb89-1
Isneg,lúbid,"the string of the <span class=""wd"">siuwāt</span> snare (made of pineapple fiber, etc.)","the string of the _siuwāt_ snare (made of pineapple fiber, etc.)",,647-4d5fed549ec82fd2238565308a42bd68-1
Rotuman,mafa,"eyes or face; spectacles; hole, opening, aperture --- in certain connections only (a crab’s hole, the ‘eyes’ of a coconut, mesh of a net); sharp edge --- of knife, axe, cut tin, broken glass, etc.; leader, head, ruler (in imitation of <span class=""lg"">Fijian</span> <span class=""wd"">mata</span>, of similar meaning)","eyes or face; spectacles; hole, opening, aperture --- in certain connections only (a crab’s hole, the ‘eyes’ of a coconut, mesh of a net); sharp edge --- of knife, axe, cut tin, broken glass, etc.; leader, head, ruler (in imitation of [Fijian](LanguageTable#cldf:)",,394-6d8ebff1a44ebf136eb45412deb39fca-1
Rarotongan,maro kura,"the sacred crimson girdle, generally worn by the <span class=""wd"">arik</span>i or members of an <span class=""wd"">ariki</span> family","the sacred crimson girdle, generally worn by the _arik_i or members of an _ariki_ family",,388-34361d1ce21f3be003a371da5684a13d-1
Kavalan,su-,"to remove (+ noun); <span class=""wd"">lislis</span> ‘scales’, <span class=""wd"">su-lislis</span> ‘to remove scales’ <span class=""wd"">rubuŋ</span>’skin, peeling’, <span class=""wd"">su-rubuŋ</span> ‘to skin, peel something’","to remove (+ noun); _lislis_ ‘scales’, _su-lislis_ ‘to remove scales’ _rubuŋ_’skin, peeling’, _su-rubuŋ_ ‘to skin, peel something’",,293-8446131cffd179084c49018be7fd8f76-1
Trobiawan,mi-,"prefix marking possession of some object (<span class=""wd"">kutu</span> ‘lice’ : <span class=""wd"">mi-kutu</span> ‘to have lice’, <span class=""wd"">vtiqulr</span> ‘stick’ : <span class=""wd"">mi-tikulr</span> ‘have a stick’, <span class=""wd"">vavaŋ</span> ‘land’ : <span class=""wd"">mi-vavaŋ</span> ‘to have land’)","prefix marking possession of some object (_kutu_ ‘lice’ : _mi-kutu_ ‘to have lice’, _vtiqulr_ ‘stick’ : _mi-tikulr_ ‘have a stick’, _vavaŋ_ ‘land’ : _mi-vavaŋ_ ‘to have land’)",,19209-6f938136e912e1e4cb8995039a06c26c-1
Ngaju_Dayak,balian,"all ceremonies in which the <span class=""wd"">balian</span> (shamaness and ritual prostitute) plays a role; the shamaness herself",all ceremonies in which the _balian_ (shamaness and ritual prostitute) plays a role; the shamaness herself,,18577-34fb145acd3df26978571d6439af15a6-1
Malay,jelataŋ,"stinging nettle, generic for certain plants with stinging leaves, including tree nettle (<i>Laportea stimulans</i>), causing intense pain and a rash like erysipelas, and used by Malays as an ingredient in poison or hung over doors to keep away evil spirits, common small nettle (<i>Fleurya interrupta</i>), causing itch, when the expression <span class=""wd"">kena jelataŋ</span> (or simply <span class=""wd"">jelataŋ</span>) ‘itchy, lascivious’, and stinging climber (<i>Cnesmone javanica</i>); a minute marine insect that gives a slight sting, sea-flea","stinging nettle, generic for certain plants with stinging leaves, including tree nettle (_Laportea stimulans_), causing intense pain and a rash like erysipelas, and used by Malays as an ingredient in poison or hung over doors to keep away evil spirits, common small nettle (_Fleurya interrupta_), causing itch, when the expression _kena jelataŋ_ (or simply _jelataŋ_) ‘itchy, lascivious’, and stinging climber (_Cnesmone javanica_); a minute marine insect that gives a slight sting, sea-flea",,326-2f54a7582711f2c43e75403c45f8dfe2-1
Iban,nentaŋ,"look at, look towards (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Scott"">Scott 1956</a></span>)","look at, look towards ([Scott 1956](Source#cldf:scott1956))",scott1956,276-a5d55a6b74b7b8f45c67802f4cfaf5a9-1
Mbula,na,"then (<span class=""wd"">Sombe yaŋ isu, na ko nio aŋma som</span> [FUT rain 3sg. fall, then IRR 1sg 1sg.come NEG] ‘If it rains, then I won’t come to you’)","then (_Sombe yaŋ isu, na ko nio aŋma som_ [FUT rain 3sg. fall, then IRR 1sg 1sg.come NEG] ‘If it rains, then I won’t come to you’)",,815-312d2b51e0701093d707cdb342aecdf5-1
Makassarese,bidara paiʔ,"wild <span class=""wd"">bidara</span>, the wood and bark of which is bitter, and is used as medicine against consumption and freckles","wild _bidara_, the wood and bark of which is bitter, and is used as medicine against consumption and freckles",,325-73bd45d1e785e54da469e2f4435e1ed8-1
Sori,brup,"basket trap for fish and eels (smaller trap of same type is <span class=""wd"">awep</span>)",basket trap for fish and eels (smaller trap of same type is _awep_),,1021-bea5f4c883386fbf4c9a52c7d78561a2-1
Puyuma_(Tamalakaw),zeRuŋ,"thunder (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Tsuchida"">Tsuchida 1982</a></span>)",thunder ([Tsuchida 1982](Source#cldf:tsuchida1982)),tsuchida1982,18964-5c7686c0284e0875b26de99c1008e998-1
Ifugaw,háloŋ,"resin of pine trees; the word may be used in the sense of pine tree, though the exact term is <span class=""wd"">bolból</span>; splinter of a pine tree containing resin, used as a torch","resin of pine trees; the word may be used in the sense of pine tree, though the exact term is _bolból_; splinter of a pine tree containing resin, used as a torch",,636-d86d9c33017a2a2d16d9f26e5246c736-1
Amblau,lana,"oil (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#van"">van der Miesen</a></span>)",oil ([van der Miesen](Source#cldf:vandermiesen1911)),vandermiesen1911,473-c5af0543407a6e8ba11db6a69f792014-1
Rotinese,hani-k,"bait for fishing (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Jonker"">Jonker 1908</a></span>)",bait for fishing ([Jonker 1908](Source#cldf:jonker1908)),jonker1908,395-c15b9d60daf2cc87a47030d983c9e103-1
Cebuano,dúlut,"to serve food to visitors; make an offering of food in the <span class=""wd"">diwáta</span> ceremony, or on All Soul’s Day","to serve food to visitors; make an offering of food in the _diwáta_ ceremony, or on All Soul’s Day",,252-7e3cc56f3ebfe17820e519bdf5649605-1
Toba_Batak,buro,"chasing or driving off of birds from the fields <span class=""wd"">tano buro</span> 'soil of the fields'",chasing or driving off of birds from the fields _tano buro_ 'soil of the fields',,427-3c03406be46635b9f201bd9d25b7227d-1
Iban,betaboh begau,"sound an alarm (by beating rapidly on <span class=""wd"">tawak</span> drum)",sound an alarm (by beating rapidly on _tawak_ drum),,276-110c686e75ba368f9ab4c868c15666d8-1
Waray-Waray,giʔók,"the act of threshing, as of <span class=""wd"">palay</span>","the act of threshing, as of _palay_",,19275-f4dfcdf8d1750538db1f83a1331b15e4-1
Dairi-Pakpak_Batak,bataŋ laé,"river (<span class=""wd"">laé</span> = water, river)","river (_laé_ = water, river)",,18147-8e1b91e96ee29677a2379daf95936563-1
Malay,musaŋ,"civet cat, polecat; in Malaya a general name for <i>Viverridae</i>; the bearcat, <i>Arctictis</i>, is also <span class=""wd"">musaŋ turun</span>, <span class=""wd"">binturun</span>, <span class=""wd"">bənturoŋ</span>; proverbial as wily robbers of henroosts","civet cat, polecat; in Malaya a general name for _Viverridae_; the bearcat, _Arctictis_, is also _musaŋ turun_, _binturun_, _bənturoŋ_; proverbial as wily robbers of henroosts",,326-c24be65e90801b78ab442a640f04d865-1
Sangir,hesaŋ,"useful type of moss that grows to a height of over two feet.  The light-green young plants resemble small fir trees, with cylindrical stalks filled with hairs or soft spines.  The plant later loses its pyramidal form and comes to resemble the flatter mosses.  It grows in close association with <i>Imperata cylindrica</i> wherever there is enough moisture. Also called <span class=""wd"">hesaŋ lumuʔ</span> in contradistinction with <span class=""wd"">hesaŋ</span> or <span class=""wd"">hesaŋ eseʔ</span>; the latter belongs with the ginto, and is a climbing fern, much used for wicker chairs, etc.","useful type of moss that grows to a height of over two feet. The light-green young plants resemble small fir trees, with cylindrical stalks filled with hairs or soft spines. The plant later loses its pyramidal form and comes to resemble the flatter mosses. It grows in close association with _Imperata cylindrica_ wherever there is enough moisture. Also called _hesaŋ lumuʔ_ in contradistinction with _hesaŋ_ or _hesaŋ eseʔ_; the latter belongs with the ginto, and is a climbing fern, much used for wicker chairs, etc.",,402-1a651ef28a78f9eab5fee87a62d5e5b2-1
Tagalog,ulayan,"a tree: <i>Lithocarpus</i> spp.  (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a tree: _Lithocarpus_ spp. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,423-3dbb74eefa8d8433b7ff7fec34a96665-1
Palawano,aga,"tree sp.; barkcloth made from the bark of the <span class=""wd"">aga</span> tree",tree sp.; barkcloth made from the bark of the _aga_ tree,,19486-c361ecdbd655e74d4e42e5f4de74dfa9-1
Old_Javanese,-ŋku,"suffix for the first person (after bases that end with <span class=""wd"">n</span>, or a vowel)","suffix for the first person (after bases that end with _n_, or a vowel)",,660-d719d818fc2e6efc5c6bbc892ac2a9c1-1
Komodo,mata keriwa,"unhusked rice grain (<span class=""wd"">keriwa</span> = ‘husked rice’)",unhusked rice grain (_keriwa_ = ‘husked rice’),,708-215a0ace55c837ca91a16ea8909897a6-1
Malay,pasaŋ,"tidal flow, in constrast to <span class=""wd"">surut</span> (ebb)","tidal flow, in constrast to _surut_ (ebb)",,326-3a9efaed15a5a569784e4cd702041bb8-1
Ilokano,bolo-án,"a section of <span class=""wd"">bólo</span> inserted in a shed of the warp in order to keep the threads in place; either of the two horizontal movable bars of a <span class=""wd"">pagtagúdan</span> or combing frame, over which the cotton yarn is stretched in order to be combed","a section of _bólo_ inserted in a shed of the warp in order to keep the threads in place; either of the two horizontal movable bars of a _pagtagúdan_ or combing frame, over which the cotton yarn is stretched in order to be combed",,279-cc38afda21a4f7db2d5aa76003c418d3-1
Tetun,feto,"woman; feminine (when joined to the names of persons and plants): <span class=""wd"">oan feto</span> daughter; <span class=""wd"">ai dilo feto</span> a female pawpaw (one which produces fruit); <span class=""wd"">tasi feto</span> the sea on the north coast which is generally much milder than the sea on the south coast, known as <span class=""wd"">tasi mane</span>","woman; feminine (when joined to the names of persons and plants): _oan feto_ daughter; _ai dilo feto_ a female pawpaw (one which produces fruit); _tasi feto_ the sea on the north coast which is generally much milder than the sea on the south coast, known as _tasi mane_",,1060-602cd1f9594400259e31e38994077ef5-1
Tuvaluan,fua mauli,"testicle (<span class=""wd"">fua</span> = egg, fruit)","testicle (_fua_ = egg, fruit)",,19417-31c529ae59515b137c12fea88e2bcbe4-1
Bikol,-an,"1. verbal affix, locative series, infinitive-command form: <span class=""wd"">dumán</span> 'there, yonder' : <span class=""wd"">duman-án</span> 'come or go to', 2. verbal affix, reflexive action series, infinitive-command form: <span class=""wd"">hugák</span> 'lazy' : <span class=""wd"">hugak-án</span> 'to feel lazy', 3. verbal affix, regular series, infinitive-command form: <span class=""wd"">imbitár</span> 'invite' : <span class=""wd"">imbitar-án</span> 'to invite', 4. alternant command suffix for verbs taking <span class=""wd"">i-</span> in the infinitive: <span class=""wd"">i-abót mo an asín</span> or <span class=""wd"">abot-án an asín</span> 'pass the salt', 5. nominal affix, locative: <span class=""wd"">eskuéla</span> 'student' : <span class=""wd"">eskuelah-án</span> 'school'","1. verbal affix, locative series, infinitive-command form: _dumán_ 'there, yonder' : _duman-án_ 'come or go to', 2. verbal affix, reflexive action series, infinitive-command form: _hugák_ 'lazy' : _hugak-án_ 'to feel lazy', 3. verbal affix, regular series, infinitive-command form: _imbitár_ 'invite' : _imbitar-án_ 'to invite', 4. alternant command suffix for verbs taking _i-_ in the infinitive: _i-abót mo an asín_ or _abot-án an asín_ 'pass the salt', 5. nominal affix, locative: _eskuéla_ 'student' : _eskuelah-án_ 'school'",,244-91aa9086bb580494485c13166176d341-1
Fijian,"isi, isi-a","tear out in small pieces; cut lengthwise, as bamboo; cut or tear off the inner part of <span class=""wd"">vau</span> (hibiscus) bark to be used as string","tear out in small pieces; cut lengthwise, as bamboo; cut or tear off the inner part of _vau_ (hibiscus) bark to be used as string",,266-8a912d2e00a2ae751986938caa3985b5-2
Rotinese,heu,"bind together; roof of a house (tying lontar leaves or bundles or <span class=""wd"">alang-alang</span> grass to the slats of the roof)",bind together; roof of a house (tying lontar leaves or bundles or _alang-alang_ grass to the slats of the roof),,395-8db7a9a93beb2bbd767515373b02cca1-1
Arosi,atei (< *asa-i),"who; interrogative pronoun, but not indefinite like <span class=""lg"">Mota</span> <span class=""wd"">isei</span>","who; interrogative pronoun, but not indefinite like [Mota](LanguageTable#cldf:)",,485-ca69a36ea8ee0d9b0aec25c7b33a6338-1
Ibaloy,toktok,"head; other physical features corresponding to the head, with qualifying <span class=""wd"">ni</span> phrase, e.g. <span class=""wd"">toktok ni shontog</span> ‘top of the mountain","head; other physical features corresponding to the head, with qualifying _ni_ phrase, e.g. _toktok ni shontog_ ‘top of the mountain",,19182-060fc61bb749bafe87e3eb4bae4cb970-1
Malay,dalam,"palace, prince’s home; inside, inner, used as a locative (<span class=""wd"">di dalam</span> ‘in’, <span class=""wd"">dari dalam</span> ‘from within’); inner, as the inner part or central room of a house; depth; deep, profound","palace, prince’s home; inside, inner, used as a locative (_di dalam_ ‘in’, _dari dalam_ ‘from within’); inner, as the inner part or central room of a house; depth; deep, profound",,326-dccd10f50243a6765de1b39ab52574b0-1
Chamorro,lima,"five (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Costenoble"">Costenoble 1940</a></span>)",five ([Costenoble 1940](Source#cldf:costenoble1940)),costenoble1940,573-30056e1cab7a61d256fc8edd970d14f5-1
Bikol,tágay,"ritual in which food is offered to the <span class=""wd"">táwong-lipód</span> (supernaturals) to ask for a rich harvest, a full catch, a successful hunt, or the removal of spells","ritual in which food is offered to the _táwong-lipód_ (supernaturals) to ask for a rich harvest, a full catch, a successful hunt, or the removal of spells",,244-4a6d3fa0fee0297aaaf2e587efc0cc8a-1
Tae',na,"and (<span class=""wd"">iko na aku</span> ‘you and I/me’)",and (_iko na aku_ ‘you and I/me’),,18947-95f12f5e1195b22058ee750c03bfabca-1
Bikol,maŋ-bambán,"collect <span class=""wd"">bambán</span> from the mountain forests",collect _bambán_ from the mountain forests,,244-da7b1ad708abeab43203e3090776c71e-1
Tongan,ʔulua,"very large fish: a full-sized <span class=""wd"">lupo</span> (trevally)",very large fish: a full-sized _lupo_ (trevally),,434-5a18d0f961687918677b2a04b086511b-1
Nggela,ni,"a preposition with many meanings, but the chief ones are: 1. belonging to, of (<span class=""wd"">mane ni Nggela</span> ‘a native of Nggela’); 2. to (<span class=""wd"">ndutu ni mate</span> ‘near (to) death’); 3. as (<span class=""wd"">kambu ni vunagi</span> ‘dwell as a king’); 4. for; in order to (<span class=""wd"">mbutu ni tarai</span> ‘come to teach’); 5. with; 6. on account of; 7. concerning, about; 8. with, by (instrumental); 9. it makes possessive pronouns: <span class=""wd"">ninggua</span>, <span class=""wd"">nimua</span>, <span class=""wd"">nina</span>, etc.","a preposition with many meanings, but the chief ones are: 1. belonging to, of (_mane ni Nggela_ ‘a native of Nggela’); 2. to (_ndutu ni mate_ ‘near (to) death’); 3. as (_kambu ni vunagi_ ‘dwell as a king’); 4. for; in order to (_mbutu ni tarai_ ‘come to teach’); 5. with; 6. on account of; 7. concerning, about; 8. with, by (instrumental); 9. it makes possessive pronouns: _ninggua_, _nimua_, _nina_, etc.",,359-3f6774ec00a664f72f787e3a1ddcb8c4-1
Mota,ta-val-a imwa,"the other side of the house; members of the other <span class=""wd"">veve</span>, with whom alone marriage is allowed","the other side of the house; members of the other _veve_, with whom alone marriage is allowed",,344-7ed0a0ab3c89a856cb17b1a08f4ef7c9-1
Mansaka,pait-an,"a plant: <i>Lunasia amara</i> Blco. (<span class=""bib""><a class=""bib"" href=""acd-bib.htm#Madulid"">Madulid 2001</a></span>)",a plant: _Lunasia amara_ Blco. ([Madulid 2001](Source#cldf:madulid2001)),madulid2001,825-0133ff82080b6f1b9513c26907d948cc-1
Rungus_Dusun,ko,"2sg nominative pronoun, short form (long form = <span class=""wd"">ikow</span>)","2sg nominative pronoun, short form (long form = _ikow_)",,971-4735143d2284242195e82379e87317d5-1
Bikol,salóp,"small basket made from <span class=""wd"">burí</span> (talipot palm) leaves",small basket made from _burí_ (talipot palm) leaves,,244-1a078de9ea531d4a40d5c82a9929f6c4-1
